,링크,공고명,기관명,마감일,채용직급,장애인 채용 / 우대,본문,근무지역
10,https://www.gojobs.go.kr/apmView.do?empmnsn=241121&selMenuNo=400&menuNo=401&upperMenuNo=,공공조달역량개발원 기간제근로자(전임교수) 공개경쟁 채용시험 공고,조달청 공공조달역량개발원,2024-12-23,기간제근로자(전임교수) 3명,해당없음,"첨부파일 기간제근로자(전임교수) 공개경쟁 채용시험 공고.hwpx 공공조달역량개발원의 원활한 교육 수행을 위하여 공공조달 전문교육 과정에 강의할 전임교수를 아래와 같이 모집하오니 많은 응모 바랍니다. ○ 모집분야 : 물품 또는 용역 계약분야 2명, 시설공사계약분야 1명 ○ 선발직급 : 전임교수 ○ 고용형태 : 기간제근로자(1년) ○ 자격요건 : 붙임 공고서 참고 ○ 접수기간 : 2024년12월13일 ~ 2024년12월23일 ○ 응시방법 : 붙임 공고서 참고 ○ 문 의 처 : 054-716-1512",
11,https://www.gojobs.go.kr/apmView.do?empmnsn=241122&selMenuNo=400&menuNo=401&upperMenuNo=,산림청 수목원조성사업단 기간제근로자(행정실무원)채용 공고,산림청,2024-12-16,행정실무원 1명,해당없음,"첨부파일 2025년 수목원조성사업단 기간제근로자(행정실무원) 채용공고(산림청 공고 제2024-423호).hwpx [산림청 공고 제 2024-423호] 산림청 수목원조성사업단에서 근무할 기간제근로자를 모집합니다. 1. 직종 : 기간제근로자 2. 인원 : 1명 3. 근무부서 : 수목원조성사업단(대전광역시 서구 청사로 189 정부대전청사 1동 18층) 4. 담당업무 - 수목원조성사업단 사업 업무보조 - 문서 수발신 및 기록물 관리, 물품관리 - 기타 사무보조 및 선발권자가 부여하는 업무 5. 근무기간 : 2025.1.(채용일)~2025.6.30. * 기관여건에 따라 근무기간이 변경(단축, 연장)될 수 있음 6. 서류접수기간 2024.12.10.(화).~2024.12.16.(월) 18:00까지(전자우편 수신 시간 기준) 7. 기타 세부사항은 붙임 공고문을 반드시 참조하시고, 자세한 문의사항은 산림청 수목원조성사업단 (☎ 042-481-8835)로 문의하시기 바랍니다. 밝고 유능한 분들의 많은 지원 바랍니다. 붙임 기간제근로자 채용 공고문 1부. 끝.",
12,https://www.gojobs.go.kr/apmView.do?empmnsn=241123&selMenuNo=400&menuNo=401&upperMenuNo=,2024년 하반기 정규직 채용공고,한국의료기기안전정보원,2024-12-26,4급 1명,우대,첨부파일 [붙임2] 2024년 하반기 한국의료기기안전정보원 정규직 채용공고.pdf 안녕하십니까. 한국의료기기안전정보원(NIDS)은 식품의약품안전처 산하 기타공공기관으로서 대한민국 의료기기 산업발전을 견인할 유능한 인재를 아래와 같이 모집하오니 많은 지원 바랍니다. - 채용인원: 정규직 총 8명 (분야별 중복 지원 불가) - 공고 및 접수 일정: 2024.12.12.~2024.12.26. - 임용예정일: 2025.2.12. - 입사지원페이지: https://nids.incruit.com 관련하여 문의사항이 있으신 경우 정보원 인사담당자(02-860-4327)로 문의주시기 바랍니다. 감사합니다.,
13,https://www.gojobs.go.kr/apmView.do?empmnsn=241125&selMenuNo=400&menuNo=401&upperMenuNo=,"2025년 제1차 국립중앙박물관 행정지원과 경비직종 일반경쟁(공무직, 기간제) 및 장애인 제한경쟁(공무직) 채용 최종합격자 명단 공고",문화체육관광부 국립중앙박물관,2024-12-26,공무직(경비 일반) 2명,우대,첨부파일 2025년 제1차 국립중앙박물관 행정지원과 경비직종 일반경쟁(공무직·기간제) 및 장애인 제한경쟁(공무직) 채용시험 최종 합격자 공고.pdf 2025년 제1차 국립중앙박물관 행정지원과 경비직종 채용 최종합격자 명단 공고 국립중앙박물관(행정지원과)에서 경비직종 일반경쟁(공무직·기간제) 및 장애인 제한경쟁(공무직) 채용 최종합격자 및 예비합격 대상자 명단을 붙임과 같이 공고합니다. 2024년 12월 12일 국립중앙박물관장 ※ 자세한 내용은 붙임의 공고문을 참조하시기 바랍니다.,
14,https://www.gojobs.go.kr/apmView.do?empmnsn=241126&selMenuNo=400&menuNo=401&upperMenuNo=,(최종합격자 발표) 2024년도 제2회 전주지방검찰청 공무직근로자(환경관리사) 채용 최종 합격자 명단 공고,대검찰청 광주고등검찰청 전주지방검찰청,2024-12-20,환경관리사 1명,해당없음,첨부파일 2024년도 제2회 공무직근로자(환경관리사) 채용 최종 합격자 명단 공고문.hwp ○ 채용분야 : 공무직근로자(환경관리사) ○ 최종합격자 서류 제출 기한 : 2024. 12. 20. ○ 담당부서(연락처) : 063-259-4543,
15,https://www.gojobs.go.kr/apmView.do?empmnsn=241127&selMenuNo=400&menuNo=401&upperMenuNo=,삼척경찰서 공무직 근로자(기간제·청사방호직)채용 연장 공고,경찰청 강원특별자치도경찰청 삼척경찰서,2024-12-16,기간제근로자 1명,해당없음,첨부파일 채용공고문(청사방호)_삼척서(연장).hwp ○ 채용분야: 공무직 근로자(기간제·청사방호직) ○ 채용기간: 2025. 1. 1. ~ 2025. 12. 31.(1년) ○ 선발방법: 1차(서류심사) / 2차(면접) ○ 담당부서(연락처): 삼척경찰서 경무과 채용담당자(033-571-2331),
16,https://www.gojobs.go.kr/apmView.do?empmnsn=241128&selMenuNo=400&menuNo=401&upperMenuNo=,2024년 제1회 창원세관 공무직 등(조리직) 근로자 모집 재공고,관세청 창원세관,2024-12-20,조리직 1명,해당없음,"첨부파일 2024년 제1회 창원세관 공무직 등 근로자 선발 모집 재공고.pdf 2024년 제1회 창원세관 공무직 등 근로자 선발 모집 재공고.hwpx ○ 모집분야 : 조리 ○ 선발직급 : 공무직 ○ 우대요건 : 자격증 소지자, 단체급식소, 단체 식당 유경험자 등 ○ 접수기간 : 2024년12월13일(금) ~ 2024년12월20일(금) ○ 응시방법 : 방문, 등기우편, 전자우편 ○ 문의처 : 055-210-7642",
17,https://www.gojobs.go.kr/apmView.do?empmnsn=241129&selMenuNo=400&menuNo=401&upperMenuNo=,국립중앙도서관 지식정보서비스과 공무직 근로자 채용 공고,문화체육관광부 국립중앙도서관,2024-12-19,공무직 1명,해당없음,첨부파일 공무직 근로자 채용 공고안(12.12.).hwp 응시원서 24.12.12..hwp ○ 채용분야 : 사서 및 기록물정리원 ○ 원서접수 기간 : 2024.12.17. ~ 2024.12.19. ○ 응시방법 : 메일 및 등기우편 ○ 선발방법 : 서류전형(1차) - 면접심사(2차) ○ 담당부서(연락처) : 지식정보서비스과(02-590-6302) ※ 기타 자세한 사항은 채용공고 및 응시원서 등 제출서류를 확인해주시기 바랍니다.,
18,https://www.gojobs.go.kr/apmView.do?empmnsn=241130&selMenuNo=400&menuNo=401&upperMenuNo=,[한려동부] 한려해상국립공원동부사무소 2025년 한시근로(수익시설) 직원 채용,국립공원공단 한려해상국립공원동부사무소,2024-12-19,한시근로(수익시설) 8명,우대,첨부파일 1. 채용공고문.hwp 2. 지원서 및 경험경력기술서(양식).hwp 3. 경력 확인서(양식).hwp 4. NCS 기반 채용 직무설명서.hwp 5. 서류전형 인정 자격목록.hwp ○ 채용분야: 한시근로(수익시설) ○ 채용기간: 25.1.1. ~ 25.2.28. ○ 선발방법: 공개채용 ○ 채용인원(총8명): 경남 거제시(8명) ○ 원서접수기간: 24.12.12.~24.12.19. ○ 담당부서(연락처): 한려해상국립동부사무소 행정과 채용담당(055-640-2412),
19,https://www.gojobs.go.kr/apmView.do?empmnsn=241131&selMenuNo=400&menuNo=401&upperMenuNo=,2024년 제3회 광주광산우체국 상시계약집배원(공무직) 채용 공고,과학기술정보통신부 우정사업본부 전남지방우정청 광주광산우체국,2024-12-19,상시계약집배원 2명,해당없음,첨부파일 2024년 제3회 상시계약집배원 채용시험 공고문.pdf 응시제출서류(제3회).hwpx 광주광산우체국 공고 제2024-8호 2024년 제3회 광주광산우체국 상시계약집배원(공무직) 채용 공고 광주광산우체국에서 우체국 집배관련 업무를 담당할 상시계약집배원 채용 계획을 다음과 같이 공고합니다 2024.12.12. 광주광산우체국장 1. 채용직종 : 상시계약집배원(공무직) 2. 채용인원 : 2명 3. 응시자격 및 요건 : 붙임의 공고문 참조 4. 응시원서 접수기간 : 2024.12.13.(금)~2024.12.19.(목) (09:00~18:00) 5. 근무지 : 광주광산우체국 (광주광역시 광산구) 6. 시험방법 : 1차 시험(서류전형) 2차시험(실기시험) 3차시험(면접시험) 7. 서류전형 합격자 발표 : 2024.12.23.(월) 8. 실기 및 면접시험 : 2024.12.26.(목) 9. 최종합격자발표 : 2024.12.27.(금) 10. 담당부서(연락처) : 광주광산우체국 지원과 (062-949-2030) 자세한 사항은 반드시 공고문(첨부파일)을 확인하시기 바랍니다.,: 광주광산우체국 (광주광역시 광산구)
20,https://www.gojobs.go.kr/apmView.do?empmnsn=241132&selMenuNo=400&menuNo=401&upperMenuNo=,2024년 제7회 공무직 채용 서류전형 합격자 발표 및 면접심사 계획 공고,인사혁신처 국가공무원인재개발원,2024-12-18,공무직 0명,해당없음,첨부파일 2024년 제7회 공무직 채용 서류전형 합격자 발표 및 면접심사 계획 공고문.pdf 2024년 제7회 국가공무원인재개발원 공무직 채용 서류전형 합격자 발표 및 면접심사 계획을 공고합니다. * 서류전형 합격자 면접 일정 : 2024. 12. 18.(수) 13:00~ * 자세한 내용은 첨부된 공고문을 확인하시기 바랍니다 문의처: 043-931-6222,
21,https://www.gojobs.go.kr/apmView.do?empmnsn=241133&selMenuNo=400&menuNo=401&upperMenuNo=,2024년 하반기 늘봄학교 한시적 기간제근로자 채용 공고(3차),경기도교육청 경기도광주하남교육지원청,2024-12-19,한시적 기간제 근로자 1명,해당없음,첨부파일 2024년 하반기 늘봄학교 기간제근로자 채용 공고(3차).hwp 2024년 하반기 늘봄학교 한시적 기간제 근로자 채용 공고를 붙임과 같이 알려드립니다. 1. 채용 분야: 늘봄학교 업무 전담인력(기간제 근로자) 2. 채용 인원: 1명 3. 근무지: 남한산초등학교(경기도 광주시 남한산성면) 4. 근무 기간: 2024. 12. 26. ~ 2025. 2. 28.(※한시적 계약) 5. 응시원서 접수기간: 2024. 12. 12.(목) ~ 2024. 12. 19.(목) 13:00 6. 접수방법: 방문 접수 또는 전자우편 접수(jiyekimkr@korea.kr) ※ 전자메일 접수 시 2024. 12. 19.(목) 13:00 도착분에 한하여 인정함. - 반드시 자필 서명 후 스캔 파일(PDF파일)로 변환하여 제출 - 반드시 우리 지원청 서식을 이용하여 제출 바랍니다. 7. 담당자 연락처: 031-280-7305 8. 자세한 사항은 첨부파일을 참고하시기 바랍니다. ※ 전자우편(e-mail)발송 후 수신확인 여부를 꼭 확인하시기 바랍니다. ※ 전자우편 오류 발송으로 인한 불이익은 임용희망자 본인의 책임입니다. ※ 응시 서류는 접수 기간 내에 제출되어야 합니다. ※ 2024학년도 하반기 늘봄학교 기간제근로자 채용에 대한 최종 임용권자는 해당 학교장임 붙임 2024년 하반기 늘봄학교 기간제근로자 채용 공고(3차) 1부. 끝.,
22,https://www.gojobs.go.kr/apmView.do?empmnsn=241134&selMenuNo=400&menuNo=401&upperMenuNo=,청사방호 공무직(기간제 근로자) 서류심사 합격자 및 면접시험 일정 공고,경찰청 서울특별시경찰청 서울성동경찰서,2024-12-12,청사방호 공무직 1명,해당없음,첨부파일 서류전형 합격자 발표 및 면접시험 일정 공고.hwp 서울성동경찰서에서 근무할 청사방호 공무직(기간제 근로자) 채용 서류전형 합격자 및 면접시험 일정을 공고합니다. 2024. 12. 12. 서울성동경찰서장,
23,https://www.gojobs.go.kr/apmView.do?empmnsn=241135&selMenuNo=400&menuNo=401&upperMenuNo=,2024년 제8회 인천광역시부평구 지방임기제공무원 채용시험 계획 공고,인천광역시 부평구,2024-12-27,지방시간선택제임기제 마급 16명,해당없음,"첨부파일 공고문.pdf 제출서류(서식).hwp 2024년도 제8회 인천광역시부평구 지방임기제공무원 채용시험 계획을 붙임과 같이 공고합니다. 1. 채용분야 및 인원: CCTV 통합관제센터 모니터링 요원 12명, 불법주정차 단속 고정형 CCTV채증요원 4명 2. 원서접수기간: 2024. 12.24.(화) ~ 12.27.(금) * 기타 자세한 사항은 붙임의 공고문을 참고하여 주시기 바랍니다",
24,https://www.gojobs.go.kr/apmView.do?empmnsn=241136&selMenuNo=400&menuNo=401&upperMenuNo=,2024년 제4차 국립국제교육원 글로벌역량지원센터 기간제 근로자(전임강사) 채용 재공고(3차),교육부 국립국제교육원,2024-12-24,기간제 근로자 1명,우대,"첨부파일 2024년 제4차 국립국제교육원 글로벌역량지원센터 기간제 근로자(전임강사) 채용 재공고(3차).pdf 별지서식 제1~5호.hwpx [국립국제교육원 공고 제2024-215호] 교육부 직속 책임운영기관인 국립국제교육원에서 다음과 같이 기간제 근로자를 공개 모집하니 역량 있는 전문 인력의 많은 관심과 지원을 바랍니다. ㅇ 채용분야: 전임강사(한국 국적 소지자) 1명 ㅇ 신분: 비공무원 신분의 기간제근로자 ㅇ 채용기간: 채용일로부터 1년 ※ 예산 확보 및 근무성적평정 결과에 따라 연장 가능 ㅇ 근무지: 국립국제교육원 글로벌역량지원센터 ※ 제주특별자치도 서귀포시 대정읍 글로벌에듀로304번길 35 ㅇ 접수기간: 2024. 12. 12.(목) ~ 12. 24.(화) ㅇ 접수방법: 이메일 접수(eecjeju@korea.kr) ㅇ 선발방법: 1차 서류, 2차 면접 ㅇ 담당부서(연락처): 글로벌역량지원센터 064-793-5202",
25,https://www.gojobs.go.kr/apmView.do?empmnsn=241137&selMenuNo=400&menuNo=401&upperMenuNo=,행정안전부 전문임기제(법률분야) 공무원 경력경쟁채용시험 중단 공고,행정안전부,2024-12-13,전문임기제 나급 1명,해당없음,,
26,https://www.gojobs.go.kr/apmView.do?empmnsn=241138&selMenuNo=400&menuNo=401&upperMenuNo=,국립산림품종관리센터 연구직공무원 경력경쟁채용시험 최종합격자 공고,산림청 국립산림품종관리센터,2024-12-14,임업연구사 1명,우대,첨부파일 2024년 연구직공무원 경력경쟁채용 최종 합격자 공고.hwp 국립산림품종관리센터 공고 제2024-80호 2024년 국립산림품종관리센터 연구직 공무원 경력경쟁채용시험 최종합격자 공고를 붙임과 같이 합니다.,
27,https://www.gojobs.go.kr/apmView.do?empmnsn=241139&selMenuNo=400&menuNo=401&upperMenuNo=,국립산림품종관리센터 일반임기제(임업서기) 경력경쟁채용시험 최종합격자 공고,산림청 국립산림품종관리센터,2024-12-14,일반임기제(임업8급) 1명,우대,첨부파일 2024년 일반임기제공무원 채용시험 최종 합격자 공고.hwp 국립산림품종관리센터 공고 제2024-81호 2024년 국립산림품종관리센터 일반임기제(임업서기) 경력경쟁채용시험 최종합격자 공고를 붙임과 같이 합니다.,
28,https://www.gojobs.go.kr/apmView.do?empmnsn=241140&selMenuNo=400&menuNo=401&upperMenuNo=,국립부산검역소 기간제근로자(시설관리) 채용 공고,질병관리청 경남권질병대응센터 국립부산검역소,2024-12-19,기간제근로자(시설관리) 1명,해당없음,"첨부파일 국립부산검역소 기간제근로자(시설관리) 채용 공고.hwp 국립부산검역소 기간제근로자(시설관리) 채용 공고.pdf 국립부산검역소에서 기간제근로자(시설관리)를 다음과 같이 공개모집 하오니, 유능한 인재의 많은 지원 바랍니다. ○ (채용분야(직급)) 기간제근로자(시설관리) ○ (채용인원) 1명 ○ (채용기간) 근로계약일~12개월 ○ (근무예정지) 부산광역시 중구 ○ (원서접수기간) 2024.12.12.(목)~12.19.(목) ○ (담당부서(연락처)) 국립부산검역소 서무과(051-602-0604)",
29,https://www.gojobs.go.kr/apmView.do?empmnsn=241141&selMenuNo=400&menuNo=401&upperMenuNo=,국군수송사령부 한시임기제군무원(행정 5호) 채용 재공고(24-3차),국방부 국군조직 국군수송사령부,2024-12-27,한시임기제군무원 5호 1명,해당없음,첨부파일 국군수송사령부 한시임기제군무원(행정 5호) 채용계획 공고문(24-3).hwp 신원조사 시스템 인터넷 지원자 사용 설명서.pdf 국군수송사령부 공고 제2024-03호 2024년 국군수송사령부 주관 한시임기제군무원(행정 5호) 채용 계획을 아래와 같이 재공고합니다. 1. 원서접수 : \24.12.23.(월) ~ 12.27.(금) 2. 서류전형 합격자 발표 : \25.01.10.(금) 예정 3. 면접시험 : \25.01.21.(화) 예정 4. 면접시험 합격자 발표 : \25.01.24.(금) 예정 5. 임용예정일 : \25.02.01.부 6. 담당자 연락처 : 02-3419-7616 세부사항은 링크 및 첨부파일 참조 바랍니다.,
30,https://www.gojobs.go.kr/apmView.do?empmnsn=241142&selMenuNo=400&menuNo=401&upperMenuNo=,"대전광역시 서구 지방임기제공무원 채용시험 시행계획 공고(교통유발부담금 관리, 행정일반)",대전광역시 서구,2024-12-23,지방시간선택제임기제 마급 1명,해당없음,"첨부파일 공고문(교통유발부담금 행정일반).pdf 응시자 제출서류(서식).hwp ○ 채용분야(지방시간선택제임기제 마급, 지방한시임기제 8호) - 교통유발부담금 관리, 행정일반 ○ 채용기간 및 선발방법: 공고문 참조 ○ 담당부서(연락처): 서구청 운영지원과(042-288-2624)",
31,https://www.gojobs.go.kr/apmView.do?empmnsn=241143&selMenuNo=400&menuNo=401&upperMenuNo=,2024년 부산지방국토관리청 제5회 공무직근로자(조리원) 채용 공고,국토교통부 부산지방국토관리청,2024-12-27,공무직근로자(조리원) 1명,해당없음,"첨부파일 2024년 제5회 공무직근로자(조리원) 채용 공고문(부산지방국토관리청 제2024-256호).hwpx 2024년 제5회 공무직근로자(조리원) 채용 공고문(부산지방국토관리청 제2024-256호).pdf < 부산지방국토관리청 공고 제2024-256호 > 2024년 부산지방국토관리청 제5회 공무직근로자(조리원) 채용계획을 붙임과 같이 공고하오니, 관심있는 분의 많은 지원 바랍니다. ㅇ 채용직종 : 공무직근로자(조리원) ㅇ 모집단위 : 영주국토관리사무소 ㅇ 채용인원 : 총 1명(조리원 1명) ㅇ 원서접수 : 2024. 12. 12.(목) ~ 2024. 12. 27.(금) 18:00 ㅇ 기타 자세한 내용은 붙임 공고문을 확인해주시기 바랍니다. 2024년 12월 12일 부산지방국토관리청장. 끝.",
